Test Function,Algorithm,Trial,Best Score,Time (s)
Sphere,Simulated Annealing,21,1103.7925304153223,0.0013689994812011719
Sphere,Simulated Annealing,22,16248.337270223383,0.001249074935913086
Sphere,Simulated Annealing,23,10696.65686099523,0.0011663436889648438
Sphere,Simulated Annealing,24,10535.474761849311,0.0011723041534423828
Sphere,Simulated Annealing,25,14113.688494810138,0.0011932849884033203
Sphere,Simulated Annealing,26,4636.5961035890305,0.0011589527130126953
Sphere,Simulated Annealing,27,3984.6343865527556,0.0011572837829589844
Sphere,Simulated Annealing,28,16713.56485651906,0.0012159347534179688
Sphere,Simulated Annealing,29,3364.2371074176835,0.0011851787567138672
Sphere,Simulated Annealing,30,10417.535891286243,0.0011684894561767578
Sphere,Genetic Algorithm,1,22.664471469559068,0.05862927436828613
Sphere,Genetic Algorithm,2,32.61832251156538,0.05757761001586914
Sphere,Genetic Algorithm,3,0.3058493322120605,0.05880618095397949
Sphere,Genetic Algorithm,4,6.826210442844633,0.054525136947631836
Sphere,Genetic Algorithm,5,16.35782052443994,0.06089973449707031
Sphere,Genetic Algorithm,6,2.2774110789222837,0.0577092170715332
Sphere,Genetic Algorithm,7,15.045951970411995,0.05820298194885254
Sphere,Genetic Algorithm,8,10.296169333711056,0.056775808334350586
Sphere,Genetic Algorithm,9,30.81360924658994,0.05712080001831055
Sphere,Genetic Algorithm,10,8.926675444642337,0.055531978607177734
Sphere,Genetic Algorithm,11,14.830662274782684,0.0574185848236084
Sphere,Genetic Algorithm,12,4.943575984472215,0.05840492248535156
Sphere,Genetic Algorithm,13,2.2898784666075693,0.0572667121887207
Sphere,Genetic Algorithm,14,14.656668504965959,0.05669093132019043
Sphere,Genetic Algorithm,15,9.562510018277328,0.057622432708740234
Sphere,Genetic Algorithm,16,6.871820520153792,0.05769801139831543
Sphere,Genetic Algorithm,17,12.790058739489403,0.05646657943725586
Sphere,Genetic Algorithm,18,3.3383199916102417,0.058574676513671875
Sphere,Genetic Algorithm,19,45.5199778412833,0.059847116470336914
Sphere,Genetic Algorithm,20,21.469144288517764,0.057444095611572266
Sphere,Genetic Algorithm,21,4.30290023946418,0.05733847618103027
Sphere,Genetic Algorithm,22,12.43253046901473,0.058542490005493164
Sphere,Genetic Algorithm,23,18.011737625293485,0.05754232406616211
Sphere,Genetic Algorithm,24,37.228453820455016,0.05611586570739746
Sphere,Genetic Algorithm,25,8.717043927903134,0.06088995933532715
Sphere,Genetic Algorithm,26,20.010229838442218,0.05763649940490723
Sphere,Genetic Algorithm,27,12.804985830593095,0.05917978286743164
Sphere,Genetic Algorithm,28,3.8687698622053026,0.05841398239135742
Sphere,Genetic Algorithm,29,2.871091649122634,0.05627942085266113
Sphere,Genetic Algorithm,30,10.197437842897196,0.06060957908630371
